lineItem/LineItemDescription,lineItem/UsageStartDate,lineItem/UsageEndDate,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,bill/PayerAccountId,bill/PayerAccountName,lineItem/UsageAccountId,lineItem/CurrencyCode,lineItem/LineItemType,lineItem/UnblendedCost,lineItem/UsageAmount,pricing/unit,pricing/publicOnDemandCost,reservation/EffectiveCost,reservation/UnusedRecurringFee,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/TotalCommitmentToDate,savingsPlan/UsedCommitment,lineItem/ResourceId,product/ProductName,bill/InvoicingEntity,resourceTags/user:Environment,resourceTags/user:Team,resourceTags/user:Project
EC2 On-Demand - produção,2026-06-01T10:00:00Z,2026-06-01T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,222222222222,USD,Usage,24,12,Hrs,30,,,,,,,i-ec2-prod,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",prod,backend,focus
S3 Standard Storage,2026-06-02T10:00:00Z,2026-06-02T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,222222222222,USD,Usage,8,120,GB-Mo,10,,,,,,,arn:aws:s3:::focus-prod,Amazon Simple Storage Service,"Amazon Web Services, Inc.",prod,data,focus
RDS Database Usage,2026-06-03T10:00:00Z,2026-06-03T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,333333333333,USD,Usage,18,10,Hrs,23,,,,,,,db:focus-prod,Amazon Relational Database Service,"Amazon Web Services, Inc.",prod,backend,focus
VPC Networking,2026-06-04T10:00:00Z,2026-06-04T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,333333333333,USD,Usage,6,50,GB,8,,,,,,,vpc-focus,Amazon Virtual Private Cloud,"Amazon Web Services, Inc.",prod,platform,focus
Lambda Requests,2026-06-05T10:00:00Z,2026-06-05T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,444444444444,USD,Usage,3,1000000,Requests,4,,,,,,,function:focus-api,AWS Lambda,"Amazon Web Services, Inc.",dev,backend,focus
Serviço não mapeado,2026-06-06T10:00:00Z,2026-06-06T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,444444444444,USD,Usage,5,25,GB,7,,,,,,,log-group:focus,Amazon CloudWatch,"Amazon Web Services, Inc.",dev,platform,observability
EC2 coberto por Reserved Instance,2026-06-07T10:00:00Z,2026-06-07T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,222222222222,USD,DiscountedUsage,0,8,Hrs,20,12,,,,,,i-ec2-ri,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",prod,backend,focus
RI parcialmente não utilizada,2026-06-08T10:00:00Z,2026-06-08T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,222222222222,USD,RIFee,22,,,,,3,4,,,,,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",prod,backend,focus
EC2 coberto por Savings Plan,2026-06-09T10:00:00Z,2026-06-09T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,333333333333,USD,SavingsPlanCoveredUsage,0,8,Hrs,18,,,,11,,,i-ec2-sp,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",prod,platform,focus
Savings Plan Negation,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,333333333333,USD,SavingsPlanNegation,-18,8,Hrs,,,,,,,,i-ec2-sp,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",prod,platform,focus
Savings Plan Upfront Fee,2026-06-11T10:00:00Z,2026-06-11T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,333333333333,USD,SavingsPlanUpfrontFee,60,,,,,,,,,,,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",prod,platform,focus
Savings Plan Recurring Fee,2026-06-12T10:00:00Z,2026-06-12T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,333333333333,USD,SavingsPlanRecurringFee,25,,,,,,,,25,19,,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",prod,platform,focus
AWS Support Fee,2026-06-13T10:00:00Z,2026-06-13T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,111111111111,USD,Fee,15,,,,,,,,,,,AWS Support (Business),"Amazon Web Services, Inc.",shared,finops,focus
Taxa sobre serviços,2026-06-14T10:00:00Z,2026-06-14T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,111111111111,USD,Tax,9,999,ShouldBeCleared,,,,,,,,,Tax,"Amazon Web Services, Inc.",shared,finops,focus
Crédito promocional,2026-06-15T10:00:00Z,2026-06-15T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,111111111111,USD,Credit,-12,,,,,,,,,,,AWS Credits,"Amazon Web Services, Inc.",shared,finops,focus
Reembolso de teste,2026-06-16T10:00:00Z,2026-06-16T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,222222222222,USD,Refund,-5,,,,,,,,,,,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",prod,backend,focus
RIFee sem campos de unused,2026-06-17T10:00:00Z,2026-06-17T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,222222222222,USD,RIFee,14,,,,,,,,,,,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",test,qa,validation
SP Recurring sem campos necessários,2026-06-18T10:00:00Z,2026-06-18T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,333333333333,USD,SavingsPlanRecurringFee,16,,,,,,,,,,,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",test,qa,validation
EC2 On-Demand - desenvolvimento,2026-06-20T10:00:00Z,2026-06-20T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,444444444444,USD,Usage,11,6,Hrs,14,,,,,,,i-ec2-dev,Amazon EC2,"Amazon Web Services, Inc.",dev,backend,focus
S3 Backup Storage,2026-06-22T10:00:00Z,2026-06-22T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,333333333333,USD,Usage,7,200,GB-Mo,9,,,,,,,arn:aws:s3:::focus-backup,Amazon S3,"Amazon Web Services, Inc.",prod,data,backup
DynamoDB Capacity,2026-06-24T10:00:00Z,2026-06-24T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,444444444444,USD,Usage,13,500,Requests,17,,,,,,,table:focus,Amazon DynamoDB,"Amazon Web Services, Inc.",dev,data,focus
Elastic Block Store,2026-06-26T10:00:00Z,2026-06-26T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,222222222222,USD,Usage,10,100,GB-Mo,13,,,,,,,vol-focus,Amazon Elastic Block Store,"Amazon Web Services, Inc.",prod,platform,focus
RDS Staging,2026-06-28T10:00:00Z,2026-06-28T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,444444444444,USD,Usage,12,7,Hrs,16,,,,,,,db:focus-staging,Amazon RDS,"Amazon Web Services, Inc.",staging,backend,focus
Lambda Batch,2026-06-30T10:00:00Z,2026-06-30T11:00:00Z,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111111111111,Conta Principal AWS,333333333333,USD,Usage,4,500000,Requests,6,,,,,,,function:focus-batch,AWS Lambda,"Amazon Web Services, Inc.",prod,data,focus
