InvoiceId,PreviousInvoiceId,Date,ChargeType,ProductName,MeterCategory,MeterSubCategory,MeterId,MeterName,MeterRegion,UnitOfMeasure,UsageQuantity,ResourceRate,PreTaxCost,CostCenter,ConsumedService,ResourceGroup,ResourceLocation,ResourceId,OfferId,SubscriptionId,SubscriptionName,Currency,Tags
INV-2026-06-001,,2026-06-01,Usage,Virtual Machines Dv3 Series,Compute,D4s v3,3a1b2c3d-0001,D4s v3 Compute Hour,East US,Hours,24,0.192,4.608,CC-1001,Microsoft.Compute,rg-prod-app,eastus,/subscriptions/aaaa1111-bbbb-2222-cccc-333344445555/resourceGroups/rg-prod-app/providers/Microsoft.Compute/virtualMachines/vm-app-01,MS-AZR-0003P,aaaa1111-bbbb-2222-cccc-333344445555,Producao-Principal,USD,"{""Environment"":""Production""}"
INV-2026-06-001,,2026-06-01,Usage,Storage,Storage,Blob Storage,3a1b2c3d-0002,Standard LRS Data Stored,East US,GB-Month,512,0.0184,9.4208,CC-1001,Microsoft.Storage,rg-prod-storage,eastus,/subscriptions/aaaa1111-bbbb-2222-cccc-333344445555/resourceGroups/rg-prod-storage/providers/Microsoft.Storage/storageAccounts/stprodbackup01,MS-AZR-0003P,aaaa1111-bbbb-2222-cccc-333344445555,Producao-Principal,USD,"{""Environment"":""Backup""}"
INV-2026-06-001,,2026-06-01,Tax,Virtual Machines Dv3 Series,Compute,D4s v3,3a1b2c3d-0001,D4s v3 Compute Hour,East US,Hours,0,0,0.4147,CC-1001,Microsoft.Compute,rg-prod-app,eastus,/subscriptions/aaaa1111-bbbb-2222-cccc-333344445555/resourceGroups/rg-prod-app/providers/Microsoft.Compute/virtualMachines/vm-app-01,MS-AZR-0003P,aaaa1111-bbbb-2222-cccc-333344445555,Producao-Principal,USD,"{""Environment"":""Production""}"
INV-2026-06-001,,2026-06-02,Purchase,Reserved VM Instance,Reservation,D4s v3 1 Year Reserved,3a1b2c3d-0003,Reserved Instance Upfront,East US,Hours,8760,0.0342,299.59,CC-1002,Microsoft.Compute,rg-staging-db,eastus,/subscriptions/aaaa1111-bbbb-2222-cccc-333344445555/resourceGroups/rg-staging-db/providers/Microsoft.Compute/virtualMachines/vm-db-staging-02,MS-AZR-0003P,aaaa1111-bbbb-2222-cccc-333344445555,Producao-Principal,USD,"{""Environment"":""Staging""}"
INV-2026-06-001,,2026-06-03,Credit,Azure Functions,Compute,Consumption Plan,3a1b2c3d-0004,Execution Time,West Europe,GB-Second,-15000,0.000016,-0.24,CC-1003,Microsoft.Web,rg-dev-functions,westeurope,/subscriptions/aaaa1111-bbbb-2222-cccc-333344445555/resourceGroups/rg-dev-functions/providers/Microsoft.Web/sites/func-order-processor,MS-AZR-0003P,aaaa1111-bbbb-2222-cccc-333344445555,Producao-Principal,USD,"{""Environment"":""Development""}"
INV-2026-06-001,,2026-06-03,UnusedReservation,Reserved VM Instance,Reservation,D4s v3 1 Year Reserved,3a1b2c3d-0003,Reserved Instance Unused,East US,Hours,24,0.0342,0.8208,CC-1002,Microsoft.Compute,rg-staging-db,eastus,/subscriptions/aaaa1111-bbbb-2222-cccc-333344445555/resourceGroups/rg-staging-db/providers/Microsoft.Compute/virtualMachines/vm-db-staging-02,MS-AZR-0003P,aaaa1111-bbbb-2222-cccc-333344445555,Producao-Principal,USD,"{""Environment"":""Staging""}"
INV-2026-06-001,,2026-06-04,Refund,Storage,Storage,Blob Storage,3a1b2c3d-0002,Standard LRS Data Stored,East US,GB-Month,-100,0.0184,-1.84,CC-1001,Microsoft.Storage,rg-prod-storage,eastus,/subscriptions/aaaa1111-bbbb-2222-cccc-333344445555/resourceGroups/rg-prod-storage/providers/Microsoft.Storage/storageAccounts/staganalytics02,MS-AZR-0003P,aaaa1111-bbbb-2222-cccc-333344445555,Producao-Principal,USD,"{""Environment"":""Analytics""}"
INV-2026-06-001,,2026-06-05,Usage,Content Delivery Network,Networking,Data Transfer Out,3a1b2c3d-0005,CDN Data Transfer,Global,GB,340,0.081,27.54,CC-1004,Microsoft.Cdn,rg-shared-cdn,global,/subscriptions/aaaa1111-bbbb-2222-cccc-333344445555/resourceGroups/rg-shared-cdn/providers/Microsoft.Cdn/profiles/cdn-media-dist,MS-AZR-0003P,aaaa1111-bbbb-2222-cccc-333344445555,Producao-Principal,USD,"{""Environment"":""CDN""}"
INV-2026-06-001,,2026-06-06,Usage,Azure Database for PostgreSQL,Databases,General Purpose,3a1b2c3d-0006,vCore Hour,North Europe,Hours,24,0.146,3.504,CC-1005,Microsoft.DBforPostgreSQL,rg-qa-db,northeurope,/subscriptions/aaaa1111-bbbb-2222-cccc-333344445555/resourceGroups/rg-qa-db/providers/Microsoft.DBforPostgreSQL/servers/pg-qa-orders,MS-AZR-0003P,aaaa1111-bbbb-2222-cccc-333344445555,Producao-Principal,USD,"{""Environment"":""QA""}"
INV-2026-06-001,,2026-06-06,Usage,Azure Support,Support,Business Critical Support,3a1b2c3d-0007,Monthly Support Fee,Global,Month,1,199.00,199.00,CC-1006,Microsoft.Support,rg-shared-services,global,/subscriptions/aaaa1111-bbbb-2222-cccc-333344445555/resourceGroups/rg-shared-services/providers/Microsoft.Support/supportPlans/business-critical,MS-AZR-0003P,aaaa1111-bbbb-2222-cccc-333344445555,Producao-Principal,USD,"{""Environment"":""SharedServices""}"
