ProductName,Date,BillingPeriodStartDate,BillingPeriodEndDate,BillingProfileId,BillingProfileName,SubscriptionId,SubscriptionName,ResourceId,ResourceType,BillingCurrency,ConsumedService,ChargeType,PricingModel,CostInBillingCurrency,PaygCostInBillingCurrency,Quantity,UnitOfMeasure,UnitPrice,Tags
Virtual Machines D2s v5,2026-06-01,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,/subscriptions/prod/resourceGroups/rg-prod/providers/Microsoft.Compute/virtualMachines/vm-prod,microsoft.compute/virtualmachines,USD,Microsoft.Compute,Usage,OnDemand,18,24,10,1 Hour,2.0,"{""Environment"":""prod"",""Team"":""backend"",""Project"":""focus""}"
Standard SSD Managed Disks,2026-06-02,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,/subscriptions/prod/resourceGroups/rg-prod/providers/Microsoft.Compute/disks/disk-prod,microsoft.compute/disks,USD,Microsoft.Compute,Usage,OnDemand,7,10,100,1 GB/Month,0.08,"{""Environment"":""prod"",""Team"":""platform"",""Project"":""focus""}"
Blob Storage,2026-06-03,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000003,Dados,/subscriptions/data/resourceGroups/rg-data/providers/Microsoft.Storage/storageAccounts/focusstorage,microsoft.storage/storageaccounts,USD,Microsoft.Storage,Usage,OnDemand,6,9,200,1 GB/Month,0.04,"{""Environment"":""prod"",""Team"":""data"",""Project"":""focus""}"
Azure SQL Database,2026-06-04,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000003,Dados,/subscriptions/data/resourceGroups/rg-data/providers/Microsoft.Sql/servers/sql-focus,microsoft.sql/servers/databases,USD,Microsoft.Sql,Usage,OnDemand,16,22,8,1 Hour,2.25,"{""Environment"":""prod"",""Team"":""data"",""Project"":""focus""}"
Azure Functions,2026-06-05,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000002,Desenvolvimento,/subscriptions/dev/resourceGroups/rg-dev/providers/Microsoft.Web/sites/focus-functions,microsoft.web/sites,USD,Microsoft.Web,Usage,OnDemand,4,6,1000000,1 Execution,5e-06,"{""Environment"":""dev"",""Team"":""backend"",""Project"":""focus""}"
Virtual Network,2026-06-06,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,/subscriptions/prod/resourceGroups/rg-prod/providers/Microsoft.Network/virtualNetworks/vnet-prod,microsoft.network/virtualnetworks,USD,Microsoft.Network,Usage,OnDemand,5,8,50,1 GB,0.12,"{""Environment"":""prod"",""Team"":""platform"",""Project"":""focus""}"
Virtual Machines D4s v5 - Reservation,2026-06-07,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,/subscriptions/prod/resourceGroups/rg-prod/providers/Microsoft.Compute/virtualMachines/vm-ri,microsoft.compute/virtualmachines,USD,Microsoft.Compute,Usage,Reservation,12,20,8,1 Hour,2.0,"{""Environment"":""prod"",""Team"":""backend"",""Project"":""focus""}"
Virtual Machines D2s v5 - Savings Plan,2026-06-08,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,/subscriptions/prod/resourceGroups/rg-prod/providers/Microsoft.Compute/virtualMachines/vm-sp,microsoft.compute/virtualmachines,USD,Microsoft.Compute,Usage,SavingsPlan,10,17,6,1 Hour,2.0,"{""Environment"":""prod"",""Team"":""backend"",""Project"":""focus""}"
Reservation Purchase,2026-06-09,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,,,USD,Microsoft.Compute,Purchase,Reservation,60,60,1,1 Month,60.0,"{""Environment"":""shared"",""Team"":""finops"",""Project"":""focus""}"
Savings Plan Purchase,2026-06-10,2026-06-01,2026-06-30,azure-billing-profile-001,Conta Principal Azure,aaaaaaaa-bbbb-cccc-dddd-000000000001,Produção,,,USD,Microsoft.Compute,Purchase,SavingsPlan,40,40,1,1 Month,40.0,"{""Environment"":""shared"",""Team"":""finops"",""Project"":""focus""}"
