lineItem/LineItemDescription,lineItem/UsageStartDate,lineItem/UsageEndDate,bill/PayerAccountId,lineItem/UsageAccountId,bill/BillingEntity,lineItem/UnblendedCost,pricing/publicOnDemandCost,lineItem/CurrencyCode,lineItem/ResourceId,product/ProductName,resourceTags/user:Environment
USE1-LCUUsage,2026-06-01T01:00:00Z,2026-06-01T02:00:00Z,111122223333,444455556666,AWS,10.360733,12.819568,USD,arn:aws:elastic-load-balancing:us-east-1:444455556666:resource/res-00001-01,Amazon Elastic Load Balancing,production
Support Fee,2026-06-01T03:00:00Z,2026-06-01T04:00:00Z,123456789012,234567890123,AWS,7.35789,8.699288,USD,arn:aws:support:us-east-1:234567890123:resource/res-00001-02,AWS Support (Business),staging
USE1-BoxUsage:t3.medium,2026-06-01T06:00:00Z,2026-06-01T07:00:00Z,123456789012,345678901234,AWS,36.680035,46.287833,USD,arn:aws:ec2:us-east-1:345678901234:resource/res-00001-03,Amazon Elastic Compute Cloud,development
USE1-BoxUsage:t3.medium,2026-06-01T09:00:00Z,2026-06-01T10:00:00Z,987654321098,765432109876,AWS,41.056672,51.060089,USD,arn:aws:ec2:us-east-1:765432109876:resource/res-00001-04,Amazon Elastic Compute Cloud,qa
USE1-Request,2026-06-01T13:00:00Z,2026-06-01T14:00:00Z,987654321098,876543210987,AWS,14.280248,16.398934,USD,arn:aws:lambda:us-east-1:876543210987:resource/res-00001-05,AWS Lambda,production
USE1-DataTransfer-Out-Bytes,2026-06-01T16:00:00Z,2026-06-01T17:00:00Z,111122223333,444455556666,AWS,10.623308,11.948223,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00001-06,Amazon CloudFront,staging
USE1-InstanceUsage:db.t3.medium,2026-06-01T19:00:00Z,2026-06-01T20:00:00Z,123456789012,234567890123,AWS,23.172916,28.071557,USD,arn:aws:rds:us-east-1:234567890123:resource/res-00001-07,Amazon Relational Database Service,development
USE1-ReadRequestUnits,2026-06-01T21:00:00Z,2026-06-01T22:00:00Z,123456789012,345678901234,AWS,14.103623,16.465748,USD,arn:aws:dynamodb:us-east-1:345678901234:resource/res-00001-08,Amazon DynamoDB,qa
USE1-TimedStorage-ByteHrs,2026-06-01T22:00:00Z,2026-06-01T23:00:00Z,987654321098,765432109876,AWS,26.497733,33.280129,USD,arn:aws:s3:us-east-1:765432109876:resource/res-00001-09,Amazon Simple Storage Service,production
USE1-TimedStorage-ByteHrs,2026-06-01T23:00:00Z,2026-06-02T00:00:00Z,987654321098,876543210987,AWS Marketplace,27.379117,31.309896,USD,arn:aws:s3:us-east-1:876543210987:resource/res-00001-10,Amazon Simple Storage Service,staging
USE1-TimedStorage-ByteHrs,2026-06-02T01:00:00Z,2026-06-02T02:00:00Z,123456789012,345678901234,AWS,23.800621,28.211286,USD,arn:aws:s3:us-east-1:345678901234:resource/res-00002-01,Amazon Simple Storage Service,staging
USE1-InstanceUsage:db.t3.medium,2026-06-02T03:00:00Z,2026-06-02T04:00:00Z,987654321098,765432109876,AWS,20.447732,23.191097,USD,arn:aws:rds:us-east-1:765432109876:resource/res-00002-02,Amazon Relational Database Service,development
USE1-LCUUsage,2026-06-02T06:00:00Z,2026-06-02T07:00:00Z,987654321098,876543210987,AWS,10.518068,12.078066,USD,arn:aws:elastic-load-balancing:us-east-1:876543210987:resource/res-00002-03,Amazon Elastic Load Balancing,qa
USE1-BoxUsage:t3.medium,2026-06-02T09:00:00Z,2026-06-02T10:00:00Z,111122223333,444455556666,AWS,45.385021,53.565155,USD,arn:aws:ec2:us-east-1:444455556666:resource/res-00002-04,Amazon Elastic Compute Cloud,production
USE1-DataTransfer-Out-Bytes,2026-06-02T13:00:00Z,2026-06-02T14:00:00Z,123456789012,234567890123,AWS,11.15812,13.643918,USD,arn:aws:cloudfront:us-east-1:234567890123:resource/res-00002-05,Amazon CloudFront,staging
Support Fee,2026-06-02T16:00:00Z,2026-06-02T17:00:00Z,123456789012,345678901234,AWS,7.820226,9.738504,USD,arn:aws:support:us-east-1:345678901234:resource/res-00002-06,AWS Support (Business),development
USE1-ReadRequestUnits,2026-06-02T19:00:00Z,2026-06-02T20:00:00Z,987654321098,765432109876,AWS,14.826611,17.384754,USD,arn:aws:dynamodb:us-east-1:765432109876:resource/res-00002-07,Amazon DynamoDB,qa
