bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,bill/PayerAccountId,bill/PayerAccountName,bill/InvoicingEntity,lineItem/UsageAccountId,lineItem/CurrencyCode,lineItem/LineItemType,lineItem/LineItemDescription,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/UnblendedCost,pricing/publicOnDemandCost,reservation/EffectiveCost,reservation/UnusedRecurringFee,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/TotalCommitmentToDate,savingsPlan/UsedCommitment,lineItem/UsageAmount,pricing/unit,lineItem/ResourceId,product/ProductName,resourceTags/user:Environment,resourceTags/user:Team,resourceTags/user:CostCenter
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,Usage,EC2 On-Demand Linux instance usage,2026-06-05T10:00:00Z,2026-06-05T11:00:00Z,0.1,0.1,,,,,,,1,Hrs,i-0ondemand001,Amazon Elastic Compute Cloud,production,finops,
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,DiscountedUsage,EC2 usage with Reserved Instance benefit,2026-06-06T10:00:00Z,2026-06-06T11:00:00Z,0.0,0.1,0.06,,,,,,1,Hrs,i-0reserved001,Amazon Elastic Compute Cloud,production,platform,
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,RIFee,Recurring Reserved Instance fee,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,25.0,,,5.0,2.0,,,,720,Hrs,,Amazon Elastic Compute Cloud,,,
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,SavingsPlanCoveredUsage,EC2 usage covered by Savings Plans,2026-06-10T12:00:00Z,2026-06-10T13:00:00Z,0.12,0.12,,,,0.07,,,1,Hrs,i-0savingsplan001,Amazon Elastic Compute Cloud,development,finops,
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,SavingsPlanNegation,Savings Plan negation for covered usage,2026-06-10T12:00:00Z,2026-06-10T13:00:00Z,-0.12,,,,,,,,-1,Hrs,,Amazon Elastic Compute Cloud,,,
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,SavingsPlanUpfrontFee,Savings Plans upfront fee,2026-06-01T00:00:00Z,2026-06-01T01:00:00Z,100.0,,,,,,,,1,Quantity,,Amazon Elastic Compute Cloud,,,
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,SavingsPlanRecurringFee,Savings Plans recurring commitment fee,2026-06-01T00:00:00Z,2026-06-01T01:00:00Z,10.0,,,,,,10.0,7.0,1,Quantity,,Amazon Elastic Compute Cloud,,,
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,Credit,AWS promotional credit,2026-06-15T00:00:00Z,2026-06-15T01:00:00Z,-5.0,,,,,,,,0,,,Amazon Simple Storage Service,,,
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,Refund,Refund of prior AWS charge,2026-06-16T00:00:00Z,2026-06-16T01:00:00Z,-3.0,,,,,,,,0,,,Amazon Simple Storage Service,,,
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,Tax,Tax,2026-06-30T00:00:00Z,2026-07-01T00:00:00Z,2.5,,,,,,,,1,Quantity,,Amazon Web Services,,,
2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,111122223333,TCC FinOps,"Amazon Web Services, Inc.",444455556666,USD,Usage,S3 Standard storage,2026-06-20T00:00:00Z,2026-06-21T00:00:00Z,4.0,4.0,,,,,,,100,GB-Mo,arn:aws:s3:::tcc-finops-bucket,Amazon Simple Storage Service,production,,TCC
