lineItem/LineItemDescription,lineItem/UsageStartDate,lineItem/UsageEndDate,bill/PayerAccountId,lineItem/UsageAccountId,bill/BillingEntity,lineItem/UnblendedCost,pricing/publicOnDemandCost,lineItem/CurrencyCode,lineItem/ResourceId,product/ProductName,resourceTags/user:Environment
USE1-DataTransfer-Out-Bytes,2026-06-01T01:00:00Z,2026-06-01T02:00:00Z,123456789012,345678901234,AWS Marketplace,1.992711,2.654379,USD,arn:aws:cloudfront:us-east-1:345678901234:resource/res-00011,Amazon CloudFront,
USE1-WriteCapacityUnit-Hrs,2026-06-01T01:00:00Z,2026-06-01T02:00:00Z,123456789012,678901234567,AWS,2.641977,2.870848,USD,arn:aws:dynamodb:us-east-1:678901234567:resource/res-00013,Amazon DynamoDB,
USE1-EBS:VolumeUsage.gp3,2026-06-01T03:00:00Z,2026-06-01T04:00:00Z,123456789012,456789012345,AWS,3.361204,4.041542,USD,arn:aws:elastic-compute-cloud:us-east-1:456789012345:resource/res-00007,Amazon Elastic Compute Cloud,production
Support Fee,2026-06-01T03:00:00Z,2026-06-01T04:00:00Z,123456789012,678901234567,AWS,346.001126,460.238003,USD,arn:aws:support-(business):us-east-1:678901234567:resource/res-00031,AWS Support (Business),
USE1-LoadBalancerUsage,2026-06-01T04:00:00Z,2026-06-01T05:00:00Z,123456789012,567890123456,AWS,1.021781,1.039151,USD,arn:aws:elastic-load-balancing:us-east-1:567890123456:resource/res-00017,Amazon Elastic Load Balancing,qa
Support Fee,2026-06-01T05:00:00Z,2026-06-01T06:00:00Z,123456789012,345678901234,AWS,251.110605,320.49193,USD,arn:aws:support-(business):us-east-1:345678901234:resource/res-00012,AWS Support (Business),production
USE1-LoadBalancerUsage,2026-06-01T05:00:00Z,2026-06-01T06:00:00Z,123456789012,345678901234,AWS,1.83365,2.461251,USD,arn:aws:elastic-load-balancing:us-east-1:345678901234:resource/res-00005,Amazon Elastic Load Balancing,qa
Support Fee,2026-06-01T05:00:00Z,2026-06-01T06:00:00Z,123456789012,567890123456,AWS,269.155733,307.221994,USD,arn:aws:support-(business):us-east-1:567890123456:resource/res-00040,AWS Support (Business),staging
USE1-StorageUsage,2026-06-01T05:00:00Z,2026-06-01T06:00:00Z,123456789012,567890123456,AWS,2.474848,3.228885,USD,arn:aws:relational-database-service:us-east-1:567890123456:resource/res-00027,Amazon Relational Database Service,production
USE1-DataTransfer-Out-Bytes,2026-06-01T06:00:00Z,2026-06-01T07:00:00Z,123456789012,234567890123,AWS,4.914118,6.48685,USD,arn:aws:simple-storage-service:us-east-1:234567890123:resource/res-00019,Amazon Simple Storage Service,
Refund - USE1-LCUUsage,2026-06-01T06:00:00Z,2026-06-01T07:00:00Z,123456789012,234567890123,AWS,-1.025237,-1.0555551,USD,arn:aws:elastic-load-balancing:us-east-1:234567890123:resource/res-00010,Amazon Elastic Load Balancing,
