product/description,lineItem/intervalUsageStart,lineItem/intervalUsageEnd,cost/subscriptionId,lineItem/TenantId,cost/currencyCode,cost/myCost,usage/billedQuantity,cost/skuUnitDescription,product/resourceId,product/service,lineItem/isCorrection,tags/Environment,tags/Team,tags/Project
Compute VM Standard - Produção,2026-06-01T10:00:00Z,2026-06-01T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,22.0,10,OCPU HOURS,ocid1.instance.oc1.sa-saopaulo-1.compute001,Compute,false,prod,backend,focus
Block Volume - Produção,2026-06-02T10:00:00Z,2026-06-02T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,8.0,100,GB MONTH,ocid1.volume.oc1.sa-saopaulo-1.volume001,Block Storage,false,prod,platform,focus
Object Storage Standard,2026-06-03T10:00:00Z,2026-06-03T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,6.0,250,GB MONTH,ocid1.bucket.oc1.sa-saopaulo-1.bucket001,Object Storage,false,prod,data,focus
Autonomous Database,2026-06-04T10:00:00Z,2026-06-04T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,28.0,12,ECPU HOURS,ocid1.autonomousdatabase.oc1.sa-saopaulo-1.db001,Autonomous Database,false,prod,data,focus
Oracle Database Service,2026-06-05T10:00:00Z,2026-06-05T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,19.0,8,OCPU HOURS,ocid1.dbsystem.oc1.sa-saopaulo-1.db002,Database,false,prod,backend,focus
Load Balancer,2026-06-06T10:00:00Z,2026-06-06T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,7.0,20,HOURS,ocid1.loadbalancer.oc1.sa-saopaulo-1.lb001,Load Balancer,false,prod,platform,focus
Virtual Cloud Network Data,2026-06-07T10:00:00Z,2026-06-07T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,5.0,60,GB,ocid1.vcn.oc1.sa-saopaulo-1.vcn001,Networking,false,prod,platform,focus
Functions Invocations,2026-06-08T10:00:00Z,2026-06-08T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,4.0,500000,INVOCATIONS,ocid1.fnfunc.oc1.sa-saopaulo-1.fn001,Functions,false,dev,backend,focus
Container Engine for Kubernetes,2026-06-09T10:00:00Z,2026-06-09T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,12.0,15,OCPU HOURS,ocid1.cluster.oc1.sa-saopaulo-1.oke001,Container Engine for Kubernetes,false,staging,platform,focus
Logging Analytics,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,3.0,30,GB,ocid1.loggroup.oc1.sa-saopaulo-1.log001,Logging Analytics,false,dev,observability,focus
Correção de Compute,2026-06-11T10:00:00Z,2026-06-11T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,-6.0,-2,OCPU HOURS,ocid1.instance.oc1.sa-saopaulo-1.compute001,Compute,true,prod,backend,focus
Compute VM - Projeto secundário,2026-06-13T10:00:00Z,2026-06-13T11:00:00Z,oracle-subscription-002,ocid1.tenancy.oc1..aaaaaaaasecundario,USD,14.0,6,OCPU HOURS,ocid1.instance.oc1.sa-saopaulo-1.compute002,Compute,false,dev,qa,validation
Object Storage Backup,2026-06-15T10:00:00Z,2026-06-15T11:00:00Z,oracle-subscription-002,ocid1.tenancy.oc1..aaaaaaaasecundario,USD,9.0,400,GB MONTH,ocid1.bucket.oc1.sa-saopaulo-1.bucket002,Object Storage,false,dev,data,backup
Serviço sem recurso individual,2026-06-18T10:00:00Z,2026-06-18T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,11.0,5,OCPU HOURS,,Compute,false,shared,finops,focus
Compute VM Standard - Batch,2026-06-20T10:00:00Z,2026-06-20T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,16.0,7,OCPU HOURS,ocid1.instance.oc1.sa-saopaulo-1.compute003,Compute,false,prod,data,focus
Block Volume Backup,2026-06-22T10:00:00Z,2026-06-22T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,7.0,90,GB MONTH,ocid1.volume.oc1.sa-saopaulo-1.volume002,Block Storage,false,prod,platform,backup
Database Staging,2026-06-24T10:00:00Z,2026-06-24T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,13.0,5,OCPU HOURS,ocid1.dbsystem.oc1.sa-saopaulo-1.db003,Database,false,staging,backend,focus
Functions Batch,2026-06-26T10:00:00Z,2026-06-26T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,5.0,750000,INVOCATIONS,ocid1.fnfunc.oc1.sa-saopaulo-1.fn002,Functions,false,prod,data,focus
Networking Transfer,2026-06-28T10:00:00Z,2026-06-28T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,6.0,80,GB,ocid1.vcn.oc1.sa-saopaulo-1.vcn002,Networking,false,prod,platform,focus
Object Storage Archive,2026-06-30T10:00:00Z,2026-06-30T11:00:00Z,oracle-subscription-001,ocid1.tenancy.oc1..aaaaaaaavalidacaofocus,USD,4.0,300,GB MONTH,ocid1.bucket.oc1.sa-saopaulo-1.bucket003,Object Storage,false,archive,data,focus
